ring;chip_code;sex;capture_year;status;status_cat;cert;run_day_eclosion;brood_size;weight_n;tarsus_n;observer_n;weight_a;wing_a;tarsus_a;beak;feather_length;observer_a;observer_a2;time_capture;date_january;cohort
424346;C_7A6EBFD;1;2018;R;1;1;22;4;82;30.2;LM;86.2;133;30.9;24.3;29.84666667;DG;DG;11;81;2016
424358;C_7A73FB2;1;2018;F;0;1;22;5;84.7;30.9;LM;90;141;31.3;21.9;37.18666667;RM;RM;10;109;2016
424381;C_7A7059A;1;2018;R;1;1;23;3;84.8;31.6;LM;84.7;133.5;32.24;23.77;35.94666667;JM;JM;9;71;2016
424413;C_7A7003F;1;2018;R;1;1;23;4;90.4;29.3;LM;91.2;131;30.84;24.53;33.28666667;JM;JM;10;67;2016
424450;C_7A74357;1;2018;R;1;1;23;3;95;30.6;DG;92.6;140;30.95;23.5;44.57;SD;SD;12;81;2016
424451;C_7A71026;1;2018;R;1;1;23;3;83;29.7;DG;87.9;133;30.6;20.99;41.55333333;DG;DG;11;97;2016
424472;C_7A71820;1;2018;R;1;1;23;4;90;31.1;DG;85.3;135.5;31.52;23.41;39.06;JM;JM;11;83;2016
424474;C_7A746D5;1;2018;R;1;1;23;4;90;29.7;DG;90;137;30.5;22.2;43.47;DG;DG;13;85;2016
424477;C_7A72598;1;2018;F;0;0;23;4;84;29.9;DG;83.7;132.5;29.58;22.71;39.93;JM;JM;8;84;2016
424540;C_7A6F3EA;1;2018;F;0;1;24;2;82.8;28.7;LM;83.3;136;30.9;22.8;39.76333333;DG;DG;8;80;2016
424566;C_7AF6F1B;1;2018;F;0;1;24;3;83.1;28.8;LM;91.4;138.5;31.15;23.06;43.69;LP;LP;10;76;2016
424572;C_7A73DB1;1;2018;R;1;1;24;3;69;26;LM;90;136.5;27.82;23.76;37.22666667;JM;JM;10;67;2016
424590;C_7A7088C;1;2018;F;0;0;25;4;70;29.7;LM;83.4;132;30.6;23.9;36.08333333;DG;DG;11;81;2016
424594;C_7A73CAA;1;2018;F;0;1;24;3;75;28.7;LM;83.5;137;29.8;22.3;31.62;DG;DG;11;128;2016
424596;C_7A709E0;1;2018;R;1;1;25;4;82;29.1;LM;87.2;131;30.9;22.9;33.58666667;SD;SD;9;81;2016
424637;C_7A7418E;1;2018;R;1;1;24;5;87;29.9;DG;85.5;133;29.55;21.88;39.00333333;JM;JM;11;67;2016
424696;C_7A74B9E;1;2018;F;0;0;47;4;78.7;30.3;RM;82.6;135;29.39;22.6;40.52333333;JM;JM;9;83;2016
424771;C_79522D8;1;2018;F;0;1;55;2;57.7;28.1;RM;76.7;132;28.8;21.2;31.27333333;DG;DG;12;161;2016
425081;C_7990ADE;1;2019;R;1;1;19;5;76.9;30.9;HB;86.5;134;30.82;23.34;37.4;SD;SD;10;72;2017
425143;C_795640E;1;2019;F;0;1;20;5;83.3;30.8;HB;86.4;132;31.3;22.4;30.25;DG;DG;10;61;2017
425161;C_7956180;1;2019;F;0;0;20;5;84.75;29.8;HB;83.8;137;30.3;21.7;35.04;LP;LP;11;72;2017
425165;C_7818DBD;1;2019;R;1;1;20;4;85.6;29.9;RM;87.5;133;29.3;24.6;35.49666667;DG;DG;9;59;2017
425171;C_7AF6DE4;1;2019;F;0;0;20;5;79.3;30.3;HB;88.1;136;30.61;22.11;32.67666667;LP;LP;11;103;2017
425194;C_7990E3E;1;2019;F;0;1;21;3;84.5;30.9;DG;87.4;139;30.6;23.4;36.37333333;SD;SD;9;65;2017
425207;C_7955FBC;1;2019;R;1;1;21;5;78.3;30.1;DG;82.3;135;30.2;22.8;32.02333333;DG;DG;9;68;2017
425249;C_6E461F6;1;2019;F;0;0;21;5;86;30.2;DG;86.2;136;30.17;22.53;35.78333333;SD;SD;9;65;2017
425264;C_7AF6C4D;1;2019;F;0;0;21;3;83;30.4;RM;84.7;133;30.2;23.08;34.32;DG;DG;10;67;2017
425290;C_7AF69BE;1;2019;R;1;1;21;4;82.5;31.3;RM;86.7;135;30.4;22.8;36.02333333;DG;DG;9;72;2017
425297;C_7AF70E3;1;2019;R;1;1;21;5;88.8;30.2;HB;81.6;135;30.51;21.84;34.55666667;SD;SD;11;63;2017
