ring;chip_code;capture_year;status;status_cat;cert;brood_size;run_day_eclosion;weight_n;tarsus_n;observer_n;observer_n2;weight_a;wing_a;tarsus_a;beak;feather_length;spottiness;observer_a;observer_a2;time_capture;capture_date
449207;C_7C29EFD;2020;R;1;1;5;19;76.8;29.02;DG;DG;79.4;131;28.8;21.6;22.83333333;10;DG;DG;10;-41
449212;C_7C29FF4;2020;R;1;1;5;18;86.6;30.04;DG;DG;78.8;134;29.93;22.05;20.19;10;SD;SD;11;-37
449250;C_7C29EFE;2020;F;0;0;4;20;75.7;30.3;DG;DG;81.1;131;30.9;21.2;19.57333333;7;DG;DG;9;-35
449283;C_7C29FD6;2020;F;0;1;2;21;72.8;29.3;DG;DG;83.9;126;29.58;22.4;20.62;7;DG;DG;8;7
449287;C_7C2A0AC;2020;F;0;1;4;21;78.5;30;DG;DG;88.7;132;30.03;21.61;24.58666667;6;DG;DG;10;13
449747;C_7C12097;2020;F;0;0;6;33;72.96;29;IR;IR;80.9;129;29.91;21.84;19.43;6;LP;LP;9;-9
449759;C_7C12155;2020;F;0;1;4;34;83.36;29.48;IR;IR;85.3;132;29.31;21.65;17.64;10;LP;EG;9;-19
449789;C_7C2A268;2020;R;1;1;4;51;73.5;29.91;IR;IR;76.5;134;30.09;21.65;18.54333333;10;LP;LP;12;-17
449827;C_7BA2DEC;2020;F;0;0;4;18;76.97;30.96;SD;SD;73.4;132;32.52;22;23.6;9;LP;EG;11;-37
449942;C_7BA2650;2020;F;0;0;4;20;77.1;29.8;RM;RM;90.7;132;29.44;22.29;25.70333333;5;DG;DG;11;9
449946;C_7BA293D;2020;F;0;1;5;20;76.3;30.2;RM;RM;77.8;134;30.52;21.53;22.74666667;7;SD;SD;11;-34
449974;C_7BA28F1;2020;R;1;1;5;20;75.1;29.6;RM;RM;79.6;132;29.7;21.71;21.57;6;DG;IR;9;-36
450125;C_7C2A48C;2020;R;1;1;4;28;57.89;30.38;SD;SD;75;130;30.18;21.77;22.48333333;8;DG;IR;10;-31
450171;C_7C2A4BA;2020;F;0;0;3;45;67.44;28.91;SD;SD;74.2;127;29.7;19.65;18.56;10;DG;DG;9;-33
9120;C_6E6B77E;2015;R;1;1;4;20;76.25;30.28;JM;JM;80.75;129;29.95;21.39;20.7;6;LP;LP;8;-21
111894;C_6E69AC8;2015;F;0;1;5;20;79.1;30;JM;JM;84.4;133;29.5;20.9;26.69333333;3;RM;RM;11;-3
155113;C_6E6BFF9;2015;R;1;1;4;21;79.6;31;RM;RM;77.76;130;31.49;21.16;21.62666667;10;LP;LP;11;-16
155122;C_6E6A2CB;2015;R;1;1;4;21;76.1;30.5;RM;RM;83.2;131;30.3;21.6;22.2;7;DG;DG;9;-16
155124;C_6E6B099;2015;F;0;0;6;21;73.6;29.8;RM;RM;80;128;29.4;19.7;23.18;6;RM;RM;10;-7
155158;C_6E6D057;2015;F;0;0;4;21;72.9;28.8;RM;RM;74.05;130;28.9;21.35;19.42;7;LP;LP;11;-32
155161;C_6E6C461;2015;R;1;1;5;21;81.9;29.4;RM;RM;85.45;130;30.07;22.85;20.36666667;10;LP;LP;11;-18
156319;C_6E6D5AF;2015;R;1;1;5;21;82;31.05;JM;JM;83.5;133;30.21;22.22;19.00666667;10;LP;LP;10;-31
156327;C_6E6A8C5;2015;F;0;1;3;21;78.7;30.98;JM;JM;78.6;131;30.7;21.55;20.66666667;9;DG;DG;9;-13
156328;C_6E6C576;2015;F;0;1;3;21;74.2;30.07;JM;JM;78.35;129;29.6;20.3;21.82;10;RM;RM;8;-6
156350;C_6E6C35A;2015;R;1;1;5;21;76.9;30.07;JM;JM;80.75;134;29.63;21.64;25.71666667;6;RM;RM;10;-7
375804;C_6E6D5A9;2015;F;0;1;6;19;75.65;25.85;JM;JM;79.6;131;29.3;21.4;21.19;6;DG;DG;7;-13
395022;C_6E6CEA6;2015;F;0;0;3;69;81;31.1;DG;DG;85.8;131;31.5;22.33;19.04333333;10;LP;LP;9;-18
395338;C_6E6CA77;2015;F;0;1;3;64;75.05;29.06;RM;RM;80.5;131;27.4;21.4;20.60666667;6;RM;RM;8;-5
395407;C_6E6D2BF;2015;F;0;0;5;22;81.25;29.65;JM;JM;81.2;130;29.3;20.6;22.77;7;DG;DG;9;-34
395458;C_6E6B020;2015;R;1;1;5;23;81.15;31.05;JM;JM;87;132;30.5;20.88;23.81333333;6;RM;RM;9;-10
395528;C_6E6C0AD;2015;F;0;0;3;65;72.5;30.1;DG;DG;79.25;134;30.1;21.2;25.27666667;9;RM;RM;9;-7
395654;C_6E69B0A;2015;R;1;1;2;32;78.5;29.5;JM;JM;79.75;129;29.21;22.67;18.89333333;8;LP;LP;11;-33
395677;C_6E69D3F;2015;F;0;0;4;34;76.7;27.8;RM;RM;74.2;131;28.62;20.43;21.02333333;5;LP;LP;10;-32
402861;C_6E6C989;2015;F;0;0;5;21;79.1;29.9;DG;DG;78.7;132;29.86;20.53;22.60333333;9;LP;LP;10;-33
